id,year,african_american,asian,hispanic,white,native,male,female
1630100,2017,9.9,6.1,72.2,7.1,0,49.3,50.7
1630005,2017,12,6.2,74.4,3.8,0.2,49.8,50.2
1630080,2017,10.4,2.1,60.4,25,0,89.6,10.4
1630040,2017,6,13.3,73.2,4.6,0,50.6,49.4
1640010,2017,1.7,9.7,6.5,79.2,0,46,54
1640405,2017,1.3,3.7,4,88.5,0,51.1,48.9
1640020,2017,2.4,4.3,4.3,88.4,0,58.7,41.3
1650003,2017,14.5,37.5,11.6,32,0.1,48.9,51.1
1650013,2017,20.8,19,29.4,25.9,0.3,49.1,50.9
1650027,2017,19.4,9.6,24.4,41.2,0,50.7,49.3
1650047,2017,20.7,21.9,17.2,36,0.3,53.2,46.8
1650057,2017,22.8,19.3,31,23.4,0.2,52,48
6980020,2017,0,0.4,1.3,95.6,0,50.2,49.8
6980030,2017,0,2.1,0.8,96.4,0,51.3,48.7
6980010,2017,0.3,0,1.1,98.1,0,51.8,48.2
1670035,2017,2.9,4.9,3.8,84.5,0,51.8,48.2
1670014,2017,3.4,5.9,5.4,83.2,0.1,53.2,46.8
1680020,2017,1.2,1.5,5.9,88.6,0,56.6,43.4
1680010,2017,1.2,3,9.6,80.8,0,50.9,49.1
1680005,2017,2.6,2.2,10.9,80.5,0,55.4,44.6
1680300,2017,2.6,1.2,5.6,87.9,0,47.5,52.5
1680016,2017,4,1.3,5.7,86.1,0.3,52.8,47.2
4640305,2017,2.6,2.6,2.2,90,0.9,57.4,42.6
1690005,2017,2.4,1.7,2,87.6,0.2,51.5,48.5
1700045,2017,2.9,2.8,46.1,44.5,0,51.8,48.2
1700030,2017,2.3,7.4,42.1,45.9,0.5,51.6,48.4
1700008,2017,5,2.3,40.4,49.3,0,52.7,47.3
1700025,2017,4.2,2.5,54,35.2,0.2,49.6,50.4
1710015,2017,0.5,1.8,3.2,92.1,0.3,49.6,50.4
1710005,2017,0,0,0.4,97.6,0,61.8,38.2
1710310,2017,0.1,1,2.7,94.9,0.1,52.7,47.3
1710020,2017,0.5,0.2,2.6,93.6,0,49.6,50.4
1710025,2017,0.5,2.9,4.5,89.6,0.9,50.9,49.1
1710010,2017,0.6,0.3,3,92.5,0,50.7,49.3
4660550,2017,4.6,1.7,4.6,78,0,43.4,56.6
4920005,2017,41.8,1.9,48.9,1.9,0,51.1,48.9
7050405,2017,0.5,3.7,1.8,91.2,0.2,47.1,52.9
1720020,2017,4,2.2,3.6,81.2,5.8,50.2,49.8
1720035,2017,3.2,2.4,2.2,79.4,7.1,49.4,50.6
