school_id,year,first_lang_not_eng_num,first_lang_not_eng_per,ELL_num,ELL_per,disabilities_num,disabilities_per,low_inc_num,low_inc_per
2010135,2017,37,16,34,14.7,30,13,133,57.6
35130305,2017,15,4.8,14,4.5,25,8,147,47
7280015,2017,1,0.6,0,0,30,17.8,64,37.9
2040030,2017,12,3.6,3,0.9,65,19.6,23,6.9
2040005,2017,30,4.7,9,1.4,109,17,59,9.2
2040505,2017,23,3,5,0.6,81,10.4,82,10.5
2040305,2017,13,2.4,3,0.6,78,14.4,42,7.7
2070005,2017,69,16.4,26,6.2,74,17.6,14,3.3
2070305,2017,133,25.3,29,5.5,115,21.9,61,11.6
2070015,2017,149,35.7,55,13.2,57,13.7,43,10.3
2070020,2017,90,22.4,45,11.2,63,15.7,28,7
2070025,2017,65,16.3,32,8,59,14.8,28,7
2070310,2017,199,25.7,17,2.2,170,22,49,6.3
2070040,2017,161,36.9,75,17.2,83,19,47,10.8
2070315,2017,158,17.2,32,3.5,168,18.3,86,9.4
2070055,2017,71,15.9,30,6.7,74,16.6,38,8.5
2070075,2017,107,25.7,39,9.4,62,14.9,41,9.8
2070120,2017,78,25,15,4.8,40,12.8,11,3.5
2070070,2017,122,35.3,67,19.4,76,22,72,20.8
2070080,2017,80,15.8,36,7.1,43,8.5,17,3.4
2070105,2017,190,41.9,61,13.4,77,17,38,8.4
2070108,2017,94,48.7,0,0,133,68.9,25,13
2070505,2017,371,17.5,58,2.7,522,24.6,221,10.4
2070510,2017,480,25.9,65,3.5,330,17.8,162,8.8
2070320,2017,186,29.1,47,7.4,126,19.7,65,10.2
2070100,2017,32,10.7,19,6.4,37,12.4,17,5.7
2070115,2017,75,24,32,10.2,38,12.1,40,12.8
2070125,2017,91,31.1,32,10.9,37,12.6,17,5.8
2070130,2017,72,21.4,47,13.9,41,12.2,33,9.8
2080005,2017,7,1.4,3,0.6,74,14.9,30,6.1
2080015,2017,18,4.1,14,3.2,59,13.3,28,6.3
9150705,2017,0,0,0,0,93,17.4,75,14
2090035,2017,2,0.5,1,0.3,114,29.3,251,64.5
2090008,2017,1,0.3,1,0.3,104,31,215,64
2090505,2017,5,1.1,1,0.2,104,23.7,234,53.3
2090015,2017,20,6.6,17,5.6,49,16.2,166,55
2110018,2017,37,6.7,2,0.4,66,12,32,5.8
2110001,2017,80,14.6,29,5.3,107,19.5,135,24.6
2110010,2017,38,8,8,1.7,76,15.9,33,6.9
2110015,2017,14,4.7,5,1.7,40,13.5,28,9.5
2110505,2017,93,6.7,7,0.5,151,10.9,150,10.8
2110305,2017,80,7,11,1,164,14.4,142,12.5
2110020,2017,41,11.3,26,7.2,51,14.1,87,24
2120007,2017,30,7.6,26,6.6,36,9.1,40,10.1
2120030,2017,40,11.9,31,9.2,94,27.9,134,39.8
2120010,2017,14,5,6,2.1,36,12.8,47,16.7
2120013,2017,45,6.6,21,3.1,108,15.8,85,12.4
